"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","771","Logout","webkit","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","1716","Successful Login with valid credentials","webkit","2025-12-15","passed","2025-12-15","Login page","login.spec.js","",""
"","637","Login with invalid credentials","webkit","2025-12-15","passed","2025-12-15","Login Negative Scenarios","loginNegative.spec.js","",""
"","139","Go to cart and verify items","chromium","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","147","Login with empty password","chromium","2025-12-15","passed","2025-12-15","Login Negative Scenarios","loginNegative.spec.js","",""
"","170","Remove first product and verify remaining items","chromium","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","1005","Logout","chromium","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","251","Login with empty password","webkit","2025-12-15","passed","2025-12-15","Login Negative Scenarios","loginNegative.spec.js","",""
"","207","Add products to cart and verify count","chromium","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","647","Login with empty username","webkit","2025-12-15","passed","2025-12-15","Login Negative Scenarios","loginNegative.spec.js","",""
"","247","Login with invalid credentials","chromium","2025-12-15","passed","2025-12-15","Login Negative Scenarios","loginNegative.spec.js","",""
"","292","Sign in button is visible","webkit","2025-12-15","passed","2025-12-15","Login page","login.spec.js","",""
"","143","Sign in button is visible","chromium","2025-12-15","passed","2025-12-15","Login page","login.spec.js","",""
"","1002","Proceed to checkout","webkit","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","212","Login with empty username","chromium","2025-12-15","passed","2025-12-15","Login Negative Scenarios","loginNegative.spec.js","",""
"","1172","Add products to cart and verify count","webkit","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","311","Remove first product and verify remaining items","webkit","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","19","Remove item not in cart","chromium","2025-12-15","passed","2025-12-15","Add to Cart Negative Scenarios","addToCartNegative.spec.js","",""
"","453","Go to cart and verify items","webkit","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","1402","Successful Login with valid credentials","chromium","2025-12-15","passed","2025-12-15","Login page","login.spec.js","",""
"","351","Proceed to checkout","chromium","2025-12-15","passed","2025-12-15","Full Add to Cart and Checkout Flow","addToCart.spec.js","",""
"","411","Cart shows empty after removing all items","chromium","2025-12-15","passed","2025-12-15","Add to Cart Negative Scenarios","addToCartNegative.spec.js","",""
"","450","Cart shows empty after removing all items","webkit","2025-12-15","passed","2025-12-15","Add to Cart Negative Scenarios","addToCartNegative.spec.js","",""
"","66","Remove item not in cart","webkit","2025-12-15","passed","2025-12-15","Add to Cart Negative Scenarios","addToCartNegative.spec.js","",""
